queryId,queryKey,precursorMz,candidateAccession,candidateName,compoundId,spectrumId,hmdbSpectrumId,spectrumType,polarity,label,labelType,usableTargetAccessions,isBestTargetSpectrumByCosine,cosineSimilarity,absoluteMassErrorPpm,matchedPeaks,queryCoverage,libraryCoverage,balancedCoverage,cosineRank,precursorMassRank,bestAdductLabel,bestTheoreticalMz,massErrorDa,massErrorPpm,cosinePercent,totalQueryPeaks,totalLibraryPeaks,clientScore,clientFragmentationScore,clientMassErrorPpm,clientComputedMassErrorDeltaPpm,clientComputedAbsoluteMassErrorDeltaPpm,clientIsotopeSimilarity,clientRetentionTimeMinutes,clientCharge,clientFormula,clientDescription,clientAdductLabels,warningsJson,clientMetadataJson
1.08_132.1024m/z,1.08_132.1024m/z,132.1024,HMDB0001901,Aminocaproic acid,1251,1831473,2240135,Experimental,positive,0,weak_negative,HMDB0011749;HMDB0000687;HMDB0000172,False,0.0632475074807719,3.749643135478518,7,0.14,0.28,0.1979898987322333,21,8,[M+H]+,132.10190466499998,-0.0004953350000107548,-3.749643135478518,6.32475074807719,50,25,37.8,0,4.98646808562141,-8.736111221099929,1.2368249501428918,94.7984125145605,1.08491666666667,1,C5H9NO,2-Piperidinone,M+CH3OH+H,[],"{""score"":37.8,""fragmentationScore"":0,""massErrorPpm"":4.98646808562141,""isotopeSimilarity"":94.7984125145605,""retentionTimeMinutes"":1.08491666666667,""charge"":1,""formula"":""C5H9NO"",""description"":""2-Piperidinone"",""adductLabels"":""M+CH3OH+H""}"
1.08_132.1024m/z,1.08_132.1024m/z,132.1024,HMDB0001901,Aminocaproic acid,1251,1822763,2231425,Experimental,positive,0,weak_negative,HMDB0011749;HMDB0000687;HMDB0000172,False,0.06322103852465595,3.749643135478518,7,0.14,0.2692307692307692,0.1941450686788302,22,8,[M+H]+,132.10190466499998,-0.0004953350000107548,-3.749643135478518,6.322103852465595,50,26,37.8,0,4.98646808562141,-8.736111221099929,1.2368249501428918,94.7984125145605,1.08491666666667,1,C5H9NO,2-Piperidinone,M+CH3OH+H,[],"{""score"":37.8,""fragmentationScore"":0,""massErrorPpm"":4.98646808562141,""isotopeSimilarity"":94.7984125145605,""retentionTimeMinutes"":1.08491666666667,""charge"":1,""formula"":""C5H9NO"",""description"":""2-Piperidinone"",""adductLabels"":""M+CH3OH+H""}"
1.08_132.1024m/z,1.08_132.1024m/z,132.1024,HMDB0001901,Aminocaproic acid,1251,1803001,445233,Experimental,positive,0,weak_negative,HMDB0011749;HMDB0000687;HMDB0000172,False,0.06322002198398007,3.749643135478518,7,0.14,0.25,0.18708286933869706,23,8,[M+H]+,132.10190466499998,-0.0004953350000107548,-3.749643135478518,6.322002198398007,50,28,37.8,0,4.98646808562141,-8.736111221099929,1.2368249501428918,94.7984125145605,1.08491666666667,1,C5H9NO,2-Piperidinone,M+CH3OH+H,[],"{""score"":37.8,""fragmentationScore"":0,""massErrorPpm"":4.98646808562141,""isotopeSimilarity"":94.7984125145605,""retentionTimeMinutes"":1.08491666666667,""charge"":1,""formula"":""C5H9NO"",""description"":""2-Piperidinone"",""adductLabels"":""M+CH3OH+H""}"
1.08_132.1024m/z,1.08_132.1024m/z,132.1024,HMDB0001901,Aminocaproic acid,1251,1828725,2237387,Experimental,positive,0,weak_negative,HMDB0011749;HMDB0000687;HMDB0000172,False,0.06283799792903744,3.749643135478518,7,0.14,0.2916666666666667,0.202072594216369,24,8,[M+H]+,132.10190466499998,-0.0004953350000107548,-3.749643135478518,6.283799792903744,50,24,37.8,0,4.98646808562141,-8.736111221099929,1.2368249501428918,94.7984125145605,1.08491666666667,1,C5H9NO,2-Piperidinone,M+CH3OH+H,[],"{""score"":37.8,""fragmentationScore"":0,""massErrorPpm"":4.98646808562141,""isotopeSimilarity"":94.7984125145605,""retentionTimeMinutes"":1.08491666666667,""charge"":1,""formula"":""C5H9NO"",""description"":""2-Piperidinone"",""adductLabels"":""M+CH3OH+H""}"
1.08_132.1024m/z,1.08_132.1024m/z,132.1024,HMDB0000172,L-Isoleucine,111,1786942,273,Experimental,positive,1,confirmed_positive,HMDB0011749;HMDB0000687;HMDB0000172,False,0.04302795245355851,3.749643135478518,3,0.06,0.3333333333333333,0.1414213562373095,25,8,[M+H]+,132.10190466499998,-0.0004953350000107548,-3.749643135478518,4.302795245355851,50,9,37.8,0,4.98646808562141,-8.736111221099929,1.2368249501428918,94.7984125145605,1.08491666666667,1,C5H9NO,2-Piperidinone,M+CH3OH+H,[],"{""score"":37.8,""fragmentationScore"":0,""massErrorPpm"":4.98646808562141,""isotopeSimilarity"":94.7984125145605,""retentionTimeMinutes"":1.08491666666667,""charge"":1,""formula"":""C5H9NO"",""description"":""2-Piperidinone"",""adductLabels"":""M+CH3OH+H""}"
1.08_132.1024m/z,1.08_132.1024m/z,132.1024,HMDB0256556,Pinacidil,170246,1793613,374678,Experimental,positive,0,weak_negative,HMDB0011749;HMDB0000687;HMDB0000172,False,0.04080686683426725,1.308195566121712,28,0.56,0.028,0.12521980673998823,26,5,[M+H+NH4]2+,132.10257281600002,0.00017281600003116182,1.308195566121712,4.080686683426725,50,1000,37.8,0,4.98646808562141,-3.678272519499698,3.678272519499698,94.7984125145605,1.08491666666667,1,C5H9NO,2-Piperidinone,M+CH3OH+H,[],"{""score"":37.8,""fragmentationScore"":0,""massErrorPpm"":4.98646808562141,""isotopeSimilarity"":94.7984125145605,""retentionTimeMinutes"":1.08491666666667,""charge"":1,""formula"":""C5H9NO"",""description"":""2-Piperidinone"",""adductLabels"":""M+CH3OH+H""}"
1.08_132.1024m/z,1.08_132.1024m/z,132.1024,HMDB0256556,Pinacidil,170246,1808540,451319,Experimental,positive,0,weak_negative,HMDB0011749;HMDB0000687;HMDB0000172,False,0.04080686683426725,1.308195566121712,28,0.56,0.028,0.12521980673998823,27,5,[M+H+NH4]2+,132.10257281600002,0.00017281600003116182,1.308195566121712,4.080686683426725,50,1000,37.8,0,4.98646808562141,-3.678272519499698,3.678272519499698,94.7984125145605,1.08491666666667,1,C5H9NO,2-Piperidinone,M+CH3OH+H,[],"{""score"":37.8,""fragmentationScore"":0,""massErrorPpm"":4.98646808562141,""isotopeSimilarity"":94.7984125145605,""retentionTimeMinutes"":1.08491666666667,""charge"":1,""formula"":""C5H9NO"",""description"":""2-Piperidinone"",""adductLabels"":""M+CH3OH+H""}"
1.08_132.1024m/z,1.08_132.1024m/z,132.1024,HMDB0000172,L-Isoleucine,111,1804033,446346,Experimental,positive,1,confirmed_positive,HMDB0011749;HMDB0000687;HMDB0000172,False,0.035652195180500654,3.749643135478518,3,0.06,0.15789473684210525,0.09733285267845752,28,8,[M+H]+,132.10190466499998,-0.0004953350000107548,-3.749643135478518,3.5652195180500654,50,19,37.8,0,4.98646808562141,-8.736111221099929,1.2368249501428918,94.7984125145605,1.08491666666667,1,C5H9NO,2-Piperidinone,M+CH3OH+H,[],"{""score"":37.8,""fragmentationScore"":0,""massErrorPpm"":4.98646808562141,""isotopeSimilarity"":94.7984125145605,""retentionTimeMinutes"":1.08491666666667,""charge"":1,""formula"":""C5H9NO"",""description"":""2-Piperidinone"",""adductLabels"":""M+CH3OH+H""}"
1.08_132.1024m/z,1.08_132.1024m/z,132.1024,HMDB0000172,L-Isoleucine,111,1789601,3332,Experimental,positive,1,confirmed_positive,HMDB0011749;HMDB0000687;HMDB0000172,False,0.03560323954313778,3.749643135478518,3,0.06,0.15789473684210525,0.09733285267845752,29,8,[M+H]+,132.10190466499998,-0.0004953350000107548,-3.749643135478518,3.560323954313778,50,19,37.8,0,4.98646808562141,-8.736111221099929,1.2368249501428918,94.7984125145605,1.08491666666667,1,C5H9NO,2-Piperidinone,M+CH3OH+H,[],"{""score"":37.8,""fragmentationScore"":0,""massErrorPpm"":4.98646808562141,""isotopeSimilarity"":94.7984125145605,""retentionTimeMinutes"":1.08491666666667,""charge"":1,""formula"":""C5H9NO"",""description"":""2-Piperidinone"",""adductLabels"":""M+CH3OH+H""}"
1.08_132.1024m/z,1.08_132.1024m/z,132.1024,HMDB0000172,L-Isoleucine,111,1789592,3323,Experimental,positive,1,confirmed_positive,HMDB0011749;HMDB0000687;HMDB0000172,False,0.029134394233535636,3.749643135478518,3,0.06,0.375,0.15,30,8,[M+H]+,132.10190466499998,-0.0004953350000107548,-3.749643135478518,2.9134394233535637,50,8,37.8,0,4.98646808562141,-8.736111221099929,1.2368249501428918,94.7984125145605,1.08491666666667,1,C5H9NO,2-Piperidinone,M+CH3OH+H,[],"{""score"":37.8,""fragmentationScore"":0,""massErrorPpm"":4.98646808562141,""isotopeSimilarity"":94.7984125145605,""retentionTimeMinutes"":1.08491666666667,""charge"":1,""formula"":""C5H9NO"",""description"":""2-Piperidinone"",""adductLabels"":""M+CH3OH+H""}"
1.08_132.1024m/z,1.08_132.1024m/z,132.1024,HMDB0000172,L-Isoleucine,111,1805273,447722,Experimental,positive,1,confirmed_positive,HMDB0011749;HMDB0000687;HMDB0000172,False,0.029105451974890142,3.749643135478518,3,0.06,0.375,0.15,31,8,[M+H]+,132.10190466499998,-0.0004953350000107548,-3.749643135478518,2.910545197489014,50,8,37.8,0,4.98646808562141,-8.736111221099929,1.2368249501428918,94.7984125145605,1.08491666666667,1,C5H9NO,2-Piperidinone,M+CH3OH+H,[],"{""score"":37.8,""fragmentationScore"":0,""massErrorPpm"":4.98646808562141,""isotopeSimilarity"":94.7984125145605,""retentionTimeMinutes"":1.08491666666667,""charge"":1,""formula"":""C5H9NO"",""description"":""2-Piperidinone"",""adductLabels"":""M+CH3OH+H""}"
